metric,B_low,B,B_high
avg_price_eur_mwh,95.64745013296887,92.621397659132,87.02787554214297
median_price_eur_mwh,104.21153846153845,104.21153846153845,96.03213784615383
price_std_eur_mwh,41.66027961494104,40.188815179881,37.069843258403665
scarcity_hours,0.0,0.0,0.0
unserved_energy_mwh,0.0,0.0,0.0
ccgt_capacity_factor,0.5959860415287216,0.5623001276371117,0.492665083767685
ccgt_full_load_hours,5220.837723791601,4925.749118101098,4315.746133804921
ccgt_new_gen_twh,31.822631872010604,61.011261900710956,110.60082813038298
ccgt_new_full_load_hours,6364.52637440212,6101.126190071095,5530.041406519149
ocgt_capacity_factor,0.12110283148037217,0.08088835788122585,0.022667754295578837
ocgt_full_load_hours,1060.8608037680601,708.5820150395384,198.56952762927062
curtailment_twh,10.632283059589982,10.632283059589982,10.632283059589982
curtailment_pct,2.4863872665790328,2.4863872665790328,2.4863872665790328
renewable_share_pct,72.0153527736422,71.78806911793588,71.60297414615994
total_system_cost_meur,26157.351195698353,25801.16479005048,25454.426121872202
total_system_cost_excl_voll_meur,26157.351195698353,25801.16479005048,25454.426121872202
net_import_twh,3.4772426883763616,1.5686171951991505,0.1639661661953202
co2_emissions_mt,94.96819115929785,88.74549913294365,78.44605866884314
total_generation_twh,680.4044425608384,682.2393174835422,683.5386043493048
consumer_energy_cost_meur,64341.44568355317,62570.48626706101,58981.21031232652
