hour,price_eur_mwh,wind_onshore,wind_offshore,solar,ror,biomass,lignite,hardcoal,ccgt_new,ccgt_exist,ocgt,oil,net_import_mwh,load_shed_mwh,storage_soc_mwh
31,104.21153846153845,39170.09523809524,18668.641304347828,391.78375,1601.275,8000.0,-0.0,-0.0,10000.0,5452.816045775617,-0.0,-0.0,-0.0,-0.0,106400.0
32,104.21153846153845,32806.44246031745,19393.369565217392,3290.9512499999996,1611.875,8000.0,-0.0,-0.0,10000.0,11403.248902359373,-0.0,-0.0,-0.0,-0.0,106400.0
33,104.21153846153845,26987.351190476184,16552.581521739132,8339.36624999998,1617.2999999999995,8000.0,-0.0,-0.0,10000.0,15939.69410533845,-0.0,-0.0,-0.0,-0.0,106400.0
34,104.21153846153845,22959.93253968254,16775.217391304344,12623.509999999978,1589.05,8000.0,-0.0,-0.0,10000.0,17003.895874644582,-0.0,-0.0,-0.0,-0.0,106400.0
35,104.21153846153845,20962.081349206343,17490.896739130432,13711.41,1595.3,8000.0,-0.0,-0.0,10000.0,18203.415702616843,-0.0,-0.0,-0.0,-0.0,106400.0
36,104.21153846153845,21088.763888888883,17744.510869565216,11982.7025,1612.2749999999999,8000.0,-0.0,-0.0,10000.0,18831.99254493568,-0.0,-0.0,-0.0,-0.0,106400.0
37,104.21153846153845,20135.450396825396,16616.08695652174,7299.411249999978,1656.575,8000.0,-0.0,-0.0,10000.0,20000.0,-0.0,-0.0,-0.0,-0.0,102556.57997908583
38,104.21153846153845,20588.05753968254,16812.798913043476,2217.77875,1701.75,8000.0,-0.0,-0.0,10000.0,20000.0,-0.0,-0.0,-0.0,-0.0,94552.1212237204
39,104.21153846153845,22814.76785714286,17248.532608695652,108.30624999999999,1748.95,8000.0,-0.0,-0.0,10000.0,20000.0,-0.0,-0.0,-0.0,-0.0,85557.70518785166
40,104.21153846153845,26091.62896825396,19660.271739130432,46.3325,1785.85,8000.0,-0.0,-0.0,10000.0,20000.0,-0.0,-0.0,-0.0,-0.0,79206.82540634311
41,104.21153846153845,28366.027777777777,18030.896739130436,52.29875,1789.5749999999998,8000.0,-0.0,-0.0,10000.0,3683.7768260594166,-0.0,-0.0,-0.0,-0.0,56400.0
42,104.21153846153845,31858.87896825397,18959.592391304348,35.528749999978494,1775.075,8000.0,-0.0,-0.0,10000.0,19756.167417007306,-0.0,-0.0,-0.0,-0.0,56400.0
43,104.21153846153845,33635.44642857142,19127.771739130436,16.82375,1610.775,8000.0,-0.0,-0.0,10000.0,13584.468109499663,-0.0,-0.0,-0.0,-0.0,56400.0
44,104.21153846153845,33439.49007936508,19168.614130434784,11.98625,1318.525,8000.0,-0.0,-0.0,10000.0,10298.002800539194,-0.0,-0.0,-0.0,-0.0,56400.0
45,104.21153846153845,32679.121031746028,21502.66304347826,-0.0,1510.95,8000.0,-0.0,-0.0,10000.0,5328.228589693106,-0.0,-0.0,-0.0,-0.0,56400.0
46,104.21153846153845,33414.390873015866,20516.739130434784,-0.0,1650.9749999999995,8000.0,-0.0,-0.0,10000.0,546.2890581229585,-0.0,-0.0,-0.0,-0.0,56400.0
47,90.85000000000001,33891.04761904762,19381.385869565216,-0.0,1615.4749999999995,8000.0,-0.0,-0.0,10000.0,-0.0,-0.0,-0.0,-0.0,-0.0,59626.76845699213
48,90.85000000000001,34244.35317460317,19337.9347826087,-0.0,1595.8500000000001,8000.0,-0.0,-0.0,10000.0,-0.0,-0.0,-0.0,-0.0,-0.0,65507.444682351816
49,90.85000000000001,35800.6865079365,20124.864130434784,-0.0,1599.6750000000002,8000.0,-0.0,-0.0,10000.0,-0.0,-0.0,-0.0,-0.0,-0.0,74142.78517100828
50,90.85000000000001,36998.83134920634,18948.91304347826,-0.0,1611.45,8000.0,-0.0,-0.0,10000.0,-0.0,-0.0,-0.0,-0.0,-0.0,82413.225276455
51,90.85000000000001,41139.652777777774,16912.173913043476,9.782500000000002,1616.3,8000.0,-0.0,-0.0,1153.1491958539627,-0.0,-0.0,-0.0,-0.0,-0.0,82413.225276455
52,90.85000000000001,45161.18452380951,13930.02717391304,18.5975,1627.7,8000.0,-0.0,-0.0,10000.0,-0.0,-0.0,-0.0,-0.0,-0.0,89060.71963799515
53,90.85000000000001,51698.386904761894,9351.440217391302,29.025000000000002,1668.1750000000002,8000.0,-0.0,-0.0,10000.0,-0.0,-0.0,-0.0,-0.0,-0.0,92791.51529956661
54,98.5885590277778,55699.88492063492,5375.625,38.2162499999785,1691.825,8000.0,-0.0,-0.0,10000.0,-0.0,-0.0,-0.0,-0.0,-0.0,91712.87281886452
55,98.5885590277778,59298.51785714286,5205.081521739129,358.02875,1715.9250000000002,8000.0,-0.0,-0.0,10000.0,-0.0,-0.0,-0.0,-0.0,-0.0,89908.48800468899
56,90.85000000000001,59973.686507936516,6426.27717391304,3278.75,1724.8249999999996,8000.0,-0.0,-0.0,10000.0,-0.0,-0.0,-0.0,-0.0,-0.0,90683.65734988521
57,90.85000000000001,61714.795634920636,4656.603260869562,8411.391249999999,1758.575,8000.0,-0.0,-0.0,10000.0,-0.0,-0.0,-0.0,-0.0,-0.0,94734.53150223763
58,90.85000000000001,64081.37698412698,3614.5923913043457,12779.385,1738.475,8000.0,-0.0,-0.0,1494.6522170821554,-0.0,-0.0,-0.0,-0.0,-0.0,94734.53150223763
59,90.85000000000001,63744.59126984127,2987.6902173913018,13415.24749999998,1701.8,8000.0,-0.0,-0.0,2718.6485301013454,-0.0,-0.0,-0.0,-0.0,-0.0,94734.53150223763
60,90.85000000000001,62162.29166666667,4557.309782608695,12018.285,1687.7749999999999,8000.0,-0.0,-0.0,10000.0,-0.0,-0.0,-0.0,-0.0,-0.0,101815.1308462536
61,90.85000000000001,59244.57738095238,10871.086956521738,8064.3275,1708.925,8000.0,-0.0,-0.0,5283.026612092777,-0.0,-0.0,-0.0,-0.0,-0.0,104306.989030467
62,90.85000000000001,56974.83333333333,12992.03804347826,3219.625,1724.0999999999995,8000.0,-0.0,-0.0,10000.0,-0.0,-0.0,-0.0,-0.0,-0.0,106400.0
63,104.21153846153845,54709.69841269841,15470.135869565214,235.47874999997848,1760.1,8000.0,-0.0,-0.0,10000.0,1927.0330844074997,-0.0,-0.0,-0.0,-0.0,106400.0
64,104.21153846153845,52384.781746031746,16943.641304347824,22.36,1767.3500000000001,8000.0,-0.0,-0.0,10000.0,6297.1550931936945,-0.0,-0.0,-0.0,-0.0,106400.0
65,104.21153846153845,49544.0992063492,16540.027173913044,27.09,1814.8,8000.0,-0.0,-0.0,10000.0,7158.752583581256,-0.0,-0.0,-0.0,-0.0,105418.37984987271
66,104.21153846153845,48071.3234126984,19457.364130434784,18.75875,1767.05,8000.0,-0.0,-0.0,10000.0,4482.668374294895,-0.0,-0.0,-0.0,-0.0,105418.37984987271
67,104.21153846153845,46734.22023809524,20683.77717391304,14.62,1701.0,8000.0,-0.0,-0.0,10000.0,579.8558835192816,-0.0,-0.0,-0.0,-0.0,105418.37984987271
68,96.03213784615383,46969.24007936508,19193.233695652176,14.835000000000003,1644.875,8000.0,-0.0,-0.0,10000.0,-0.0,-0.0,-0.0,-0.0,-0.0,106289.59821248414
69,96.03213784615383,44120.20634920634,17311.548913043476,-0.0,1662.025,8000.0,-0.0,-0.0,10000.0,-0.0,-0.0,-0.0,-0.0,-0.0,106400.0
70,104.21153846153845,42119.43452380953,14003.152173913044,-0.0,1646.7499999999998,8000.0,-0.0,-0.0,10000.0,1231.8780597880832,-0.0,-0.0,-0.0,-0.0,106400.0
71,104.21153846153845,40231.8373015873,11571.684782608696,-0.0,1634.7,8000.0,-0.0,-0.0,10000.0,1914.0673390509764,-0.0,-0.0,-0.0,-0.0,106400.0
72,104.21153846153845,37016.811507936516,11106.684782608696,-0.0,1651.7499999999998,8000.0,-0.0,-0.0,10000.0,2835.8237405268737,-0.0,-0.0,-0.0,-0.0,106400.0
73,104.21153846153845,32261.242063492056,9207.635869565218,-0.0,1669.4,8000.0,-0.0,-0.0,10000.0,6317.024949479899,-0.0,-0.0,-0.0,-0.0,106400.0
74,104.21153846153845,27955.359126984116,6659.429347826084,-0.0,1656.7,8000.0,-0.0,-0.0,10000.0,11551.169947077065,-0.0,-0.0,-0.0,-0.0,106400.0
