hour,price_eur_mwh,wind_onshore,wind_offshore,solar,ror,biomass,lignite,hardcoal,ccgt_new,ccgt_exist,ocgt,oil,net_import_mwh,load_shed_mwh,storage_soc_mwh
7779,150.0,8806.033730158724,6841.875,7.041250000000001,1401.25,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,1430.7644592915296,-0.0,3966.822254881345
7780,150.0,8872.569444444434,8933.233695652174,12.3625,1418.8499999999995,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,-0.0,-0.0,0.0
7781,150.0,9488.914682539673,8441.820652173912,13.38375,1485.3,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,13795.978998783557,-0.0,0.0
7782,150.0,10232.946428571422,11809.23913043478,92.71875,1578.0749999999998,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,17442.948367594203,-0.0,0.0
7783,150.0,9290.90476190475,10873.043478260868,4113.9175,1648.0249999999999,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,18746.156628881916,-0.0,0.0
7784,150.0,7700.299603174593,8391.766304347824,16015.83375,1614.4,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,10327.542878513215,-0.0,0.0
7785,150.0,6062.507936507935,5257.5,30049.475,1526.175,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,657.1214388952831,-0.0,0.0
7786,138.230784,5157.613095238093,5043.016304347824,38559.605,1489.075,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,-0.0,-0.0,7707.772184027993
7787,138.230784,5293.878968253962,4630.679347826085,39646.91375,1427.95,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,-0.0,-0.0,17953.28331369543
7788,138.230784,5604.013888888882,3997.9076086956516,33772.7375,1426.925,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,-0.0,-0.0,25105.19189210084
7789,150.0,5204.480158730158,4084.809782608695,21719.4075,1464.925,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,2216.6605474685603,-0.0,24561.385731801536
7790,150.0,5438.496031746027,4358.478260869563,7350.9037499999995,1534.7749999999999,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,17182.8000364872,-0.0,24561.385731801536
7791,150.0,7442.873015873013,4199.836956521739,535.0812500000001,1588.0749999999998,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,20000.0,-0.0,19937.546362480956
7792,150.0,10134.831349206343,4627.255434782607,166.41,1748.15,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,20000.0,-0.0,15396.662473741348
7793,150.0,11603.271825396818,3876.0326086956507,67.99375,1762.475,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,20000.0,-0.0,12936.617044003126
7794,150.0,12646.531746031738,4356.766304347827,55.95375,1669.825,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,18071.672510785444,-0.0,12936.617044003126
7795,150.0,13189.313492063488,4803.097826086956,40.473749999999995,1573.475,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,-0.0,-0.0,0.0
7796,150.0,13701.337301587302,4840.108695652173,21.9837499999785,1456.625,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,7374.814359095005,-0.0,0.0
7797,150.0,14735.652777777776,5831.086956521739,-0.0,1484.0500000000002,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,1670.1913944619719,-0.0,0.0
7798,133.27499999999998,15496.021825396816,7686.032608695653,-0.0,1472.275,8000.0,9000.0,8000.0,0.0,20000.0,8535.67646838443,-0.0,-0.0,-0.0,0.0
7799,133.27499999999998,16608.69246031746,8601.847826086956,-0.0,1455.8999999999999,8000.0,9000.0,8000.0,0.0,20000.0,3460.4230124483656,-0.0,-0.0,-0.0,0.0
7800,117.87894736842105,17948.85317460317,11167.66304347826,-0.0,1395.025,8000.0,6326.970292141807,8000.0,0.0,20000.0,-0.0,-0.0,-0.0,-0.0,0.0
7801,117.87894736842105,19369.87896825396,12990.815217391306,-0.0,1407.25,8000.0,2843.056917574864,8000.0,0.0,20000.0,-0.0,-0.0,-0.0,-0.0,0.0
